            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2011, 900.0 , 870.0 , 900.0 , 842.3 ," 1,000.0 ", 800.0 ," 1,000.0 "," 1,100.0 ", 900.0 
2012, 947.7 , 900.0 , 948.6 , 900.0 ," 1,026.1 ", 822.6 ," 1,050.0 "," 1,161.1 ", 947.0 
2013, 950.0 , 900.0 , 950.0 , 900.0 ," 1,046.3 ", 842.0 ," 1,100.2 "," 1,200.0 ", 950.0 
2014," 1,000.0 ", 950.0 , 980.0 , 924.0 ," 1,127.7 ", 860.0 ," 1,275.4 "," 1,200.0 "," 1,000.0 "
2015," 1,000.0 ", 950.0 ," 1,000.0 ", 958.0 ," 1,089.6 ", 880.0 ," 1,200.0 "," 1,255.8 "," 1,000.0 "
2016," 1,000.0 "," 1,000.0 "," 1,000.0 ", 952.0 ," 1,100.0 ", 900.0 ," 1,250.0 "," 1,250.0 "," 1,000.0 "
2017," 1,050.0 "," 1,000.0 "," 1,000.0 ", 972.4 ," 1,104.8 ", 950.0 ," 1,203.3 "," 1,300.0 "," 1,020.0 "
2018," 1,073.0 "," 1,066.9 "," 1,050.0 "," 1,000.0 "," 1,183.1 ", 972.6 ," 1,250.0 "," 1,300.0 "," 1,075.0 "
2019," 1,145.0 "," 1,072.2 "," 1,060.0 "," 1,012.0 "," 1,200.0 "," 1,000.0 "," 1,221.1 "," 1,300.0 "," 1,100.0 "
2020," 1,150.0 "," 1,151.3 "," 1,093.6 "," 1,050.0 "," 1,250.0 "," 1,000.0 "," 1,200.0 "," 1,450.0 "," 1,150.0 "
2021," 1,249.0 "," 1,196.0 "," 1,130.0 "," 1,100.0 "," 1,250.0 "," 1,000.0 "," 1,342.0 "," 1,500.0 "," 1,200.0 "
                                                                                                                                                                   MALES                                                                                                                                                                   ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004, 890.0 , 850.0 , 800.0 , 768.0 , 870.0 , 750.0 , 926.0 ," 1,000.0 ", 850.0 
2005, 926.3 , 900.0 , 850.0 , 850.0 , 936.0 , 775.0 , 903.0 ," 1,021.0 ", 900.0 
2006, 980.0 , 950.0 , 925.0 , 900.0 ," 1,000.0 ", 850.0 , 951.5 ," 1,134.6 ", 950.0 
2007," 1,000.0 "," 1,000.0 ", 975.0 , 950.0 ," 1,075.0 ", 852.8 ," 1,094.9 "," 1,258.4 "," 1,000.0 "
2008," 1,050.0 "," 1,000.0 "," 1,000.0 ", 936.0 ," 1,192.0 ", 900.0 ," 1,100.0 "," 1,250.0 "," 1,025.1 "
2009," 1,100.0 "," 1,035.0 "," 1,055.0 "," 1,000.0 "," 1,200.0 ", 995.9 ," 1,250.0 "," 1,300.0 "," 1,096.0 "
2010," 1,144.3 "," 1,075.0 "," 1,118.0 "," 1,017.4 "," 1,300.0 "," 1,000.0 "," 1,216.5 "," 1,346.0 "," 1,134.0 "
2011," 1,200.0 "," 1,105.0 "," 1,200.0 "," 1,066.4 "," 1,400.0 "," 1,000.0 "," 1,200.0 "," 1,350.0 "," 1,193.2 "
2012," 1,208.5 "," 1,150.0 "," 1,200.0 "," 1,150.0 "," 1,482.0 "," 1,050.4 "," 1,282.0 "," 1,500.0 "," 1,200.0 "
2013," 1,250.0 "," 1,169.4 "," 1,250.0 "," 1,200.0 "," 1,444.9 "," 1,100.0 "," 1,473.0 "," 1,464.0 "," 1,250.0 "
2014," 1,300.0 "," 1,259.8 "," 1,300.0 "," 1,197.7 "," 1,581.7 "," 1,100.0 "," 1,583.9 "," 1,575.9 "," 1,306.0 "
