            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.3 Employees by sex, state and full-time or part-time status, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,'000,'000,'000,'000,'000,'000,'000,'000,'000
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2007, 214.3 , 180.9 , 119.9 , 57.3 , 61.4 , 14.9 , 4.0 , 13.0 , 665.8 
2008, 219.0 , 194.3 , 121.0 , 52.9 , 62.9 , 16.9 , 4.0 , 13.5 , 684.5 
2009, 239.1 , 188.2 , 138.2 , 60.9 , 77.8 , 17.6 , 5.4 , 14.1 , 741.4 
2010, 239.5 , 203.1 , 141.6 , 57.1 , 73.3 , 19.3 , 5.8 , 14.5 , 754.2 
2011, 250.3 , 197.8 , 145.6 , 60.7 , 75.8 , 17.9 , 6.0 , 14.8 , 768.8 
2012, 256.0 , 199.7 , 148.0 , 61.1 , 79.5 , 21.0 , 5.1 , 15.6 , 786.0 
2013, 266.0 , 212.3 , 149.0 , 68.0 , 77.9 , 19.1 , 7.2 , 17.6 , 817.1 
2014, 254.4 , 236.5 , 159.8 , 60.8 , 86.1 , 20.7 , 3.6 , 16.1 , 838.0 
2015, 266.5 , 249.5 , 161.1 , 67.5 , 87.1 , 20.9 , 5.3 , 15.0 , 872.9 
2016, 312.3 , 264.3 , 173.7 , 72.0 , 98.7 , 19.9 , 7.1 , 18.8 , 966.7 
2017, 285.1 , 260.1 , 195.8 , 71.8 , 92.9 , 21.8 , 7.0 , 14.8 , 949.3 
2018, 319.5 , 249.1 , 195.9 , 71.6 , 98.8 , 23.4 , 6.3 , 19.5 , 984.2 
2019, 344.9 , 283.3 , 177.5 , 64.9 , 98.7 , 27.0 , 7.7 , 19.8 ," 1,023.8 "
2020, 320.3 , 266.1 , 192.5 , 72.4 , 106.9 , 27.6 , 9.6 , 14.0 ," 1,009.4 "
2021, 298.4 , 267.3 , 211.0 , 71.9 , 104.2 , 27.6 , 8.5 , 18.3 ," 1,007.3 "
Total,,,,,,,,,
2004," 1,261.3 ", 989.6 , 762.1 , 297.4 , 386.4 , 90.2 , 38.1 , 76.6 ," 3,901.6 "
2005," 1,299.9 "," 1,029.8 ", 795.1 , 310.2 , 420.6 , 91.9 , 34.6 , 79.2 ," 4,061.3 "
2006," 1,352.0 "," 1,040.2 ", 833.4 , 316.5 , 446.8 , 91.6 , 37.2 , 83.3 ," 4,201.0 "
2007," 1,391.3 "," 1,108.4 ", 860.4 , 313.4 , 465.4 , 99.6 , 35.9 , 86.5 ," 4,360.9 "
2008," 1,445.3 "," 1,127.9 ", 874.2 , 332.9 , 505.4 , 104.2 , 40.6 , 87.4 ," 4,517.9 "
2009," 1,420.7 "," 1,107.3 ", 910.8 , 314.7 , 498.0 , 98.9 , 52.7 , 86.1 ," 4,489.3 "
2010," 1,433.1 "," 1,148.2 ", 935.5 , 327.3 , 525.5 , 95.8 , 52.9 , 89.3 ," 4,607.7 "
2011," 1,486.4 "," 1,181.3 ", 944.8 , 342.0 , 539.7 , 98.8 , 50.2 , 91.3 ," 4,734.5 "
2012," 1,486.1 "," 1,182.2 ", 981.4 , 333.4 , 587.8 , 99.2 , 54.9 , 93.6 ," 4,818.7 "
2013," 1,529.4 "," 1,173.0 ", 970.0 , 343.4 , 584.2 , 95.0 , 60.4 , 96.7 ," 4,852.0 "
2014," 1,536.7 "," 1,194.4 ", 962.7 , 337.7 , 582.0 , 101.1 , 56.4 , 92.7 ," 4,863.8 "
2015," 1,577.0 "," 1,240.7 ", 978.6 , 335.4 , 567.3 , 104.3 , 59.0 , 88.7 ," 4,951.1 "
2016," 1,628.4 "," 1,295.2 ", 972.2 , 334.4 , 565.8 , 103.0 , 58.7 , 97.5 ," 5,055.4 "
2017," 1,624.5 "," 1,321.3 "," 1,027.6 ", 351.0 , 558.3 , 100.9 , 59.9 , 93.2 ," 5,136.7 "
2018," 1,704.9 "," 1,375.7 "," 1,048.0 ", 345.6 , 587.9 , 104.3 , 56.5 , 100.6 ," 5,323.5 "
2019," 1,775.8 "," 1,421.5 "," 1,019.3 ", 346.3 , 587.4 , 103.0 , 56.2 , 101.8 ," 5,411.4 "
2020," 1,682.9 "," 1,353.5 "," 1,009.5 ", 353.0 , 598.7 , 104.9 , 53.4 , 102.5 ," 5,258.4 "
2021," 1,636.7 "," 1,442.0 "," 1,079.9 ", 369.3 , 619.3 , 110.9 , 53.0 , 101.4 ," 5,412.5 "
                                                                                                                                                                   FEMALES                                                                                                                                                                   ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004, 684.9 , 497.4 , 379.7 , 133.4 , 176.1 , 39.8 , 26.8 , 49.4 ," 1,987.4 "
2005, 681.2 , 515.3 , 400.9 , 146.7 , 194.3 , 43.3 , 25.1 , 51.9 ," 2,058.8 "
2006, 713.1 , 530.3 , 431.8 , 150.1 , 205.7 , 44.3 , 26.2 , 56.5 ," 2,158.0 "
2007, 721.5 , 548.7 , 449.6 , 153.9 , 217.9 , 41.5 , 23.8 , 55.8 ," 2,212.7 "
2008, 745.6 , 545.9 , 467.1 , 153.9 , 240.0 , 46.2 , 28.5 , 57.5 ," 2,284.7 "
2009, 748.6 , 554.9 , 489.0 , 153.6 , 235.8 , 46.8 , 31.9 , 58.3 ," 2,318.8 "
2010, 750.2 , 578.6 , 482.1 , 159.4 , 243.1 , 45.0 , 33.7 , 57.9 ," 2,350.1 "
2011, 751.8 , 589.0 , 490.9 , 155.1 , 251.8 , 45.7 , 33.0 , 59.7 ," 2,377.0 "
2012, 789.5 , 599.3 , 501.1 , 157.1 , 274.5 , 42.7 , 38.1 , 63.3 ," 2,465.5 "
2013, 787.8 , 584.0 , 512.1 , 155.9 , 274.6 , 44.3 , 38.9 , 60.5 ," 2,458.1 "
2014, 795.7 , 609.2 , 516.6 , 158.1 , 266.8 , 43.9 , 38.0 , 61.7 ," 2,489.9 "
